Id,Product Name,Description
1,Wireless Keyboard,A compact keyboard that connects via Bluetooth or USB receiver offering clutter-free typing and portability
2,Wireless Mouse,A battery-powered mouse that eliminates cables while providing smooth and accurate cursor control
3,Mechanical Keyboard,A high-performance keyboard with mechanical switches for faster response durability and better typing experience
4,Laptop Cooling Pad,A stand with built-in fans that improves airflow and prevents laptop overheating during heavy usage
5,USB Hub,A device that expands a single USB port into multiple ports for connecting peripherals
6,External Hard Drive,A portable storage device used for backing up files media and important data
7,SSD External Drive,A fast external solid-state drive offering high-speed data transfer and better durability than HDDs
8,Webcam,A camera designed for video calls online classes meetings and live streaming
9,Noise Cancelling Headphones,Headphones that reduce background noise for better focus and immersive audio
10,Laptop Stand,An adjustable stand that raises the laptop to eye level improving posture and comfort
11,Monitor,An external display that provides a larger screen area for multitasking coding and design
